iter	Passed	Remaining
0	153	153641
1	155	77444
2	156	51986
3	157	39284
4	159	31645
5	160	26608
6	161	22935
7	162	20206
8	164	18075
9	165	16357
10	166	14962
11	167	13817
12	169	12836
13	170	12002
14	171	11275
15	172	10623
16	173	10050
17	174	9540
18	175	9085
19	177	8677
20	178	8299
21	179	7959
22	180	7661
23	182	7417
24	185	7215
25	186	6981
26	188	6787
27	190	6600
28	191	6404
29	192	6220
30	193	6049
31	194	5898
32	196	5744
33	197	5606
34	198	5477
35	199	5347
36	201	5236
37	202	5133
38	204	5034
39	205	4936
40	206	4841
41	208	4758
42	209	4671
43	211	4589
44	212	4514
45	214	4440
46	217	4403
47	220	4371
48	221	4304
49	224	4270
50	226	4215
51	227	4154
52	229	4101
53	232	4064
54	233	4016
55	235	3970
56	237	3921
57	239	3889
58	241	3847
59	242	3803
60	244	3767
61	246	3734
62	248	3702
63	250	3664
64	252	3626
65	254	3597
66	255	3561
67	257	3525
68	258	3487
69	260	3455
70	262	3440
71	264	3407
72	266	3385
73	268	3358
74	269	3327
75	271	3295
76	272	3264
77	273	3233
78	274	3205
79	277	3187
80	279	3168
81	280	3143
82	282	3119
83	283	3093
84	285	3068
85	286	3042
86	287	3016
87	288	2989
88	290	2972
89	292	2956
90	293	2935
91	295	2913
92	296	2894
93	298	2878
94	300	2866
95	302	2847
96	303	2828
97	306	2816
98	307	2799
99	309	2781
100	310	2764
101	345	3042
102	349	3044
103	351	3026
104	352	3005
105	354	2993
106	356	2976
107	358	2958
108	361	2958
109	365	2953
110	366	2937
111	368	2922
112	370	2906
113	372	2896
114	374	2880
115	378	2886
116	381	2879
117	384	2871
118	386	2863
119	389	2853
120	393	2856
121	397	2861
122	399	2849
123	401	2838
124	403	2825
125	405	2811
126	410	2818
127	411	2805
128	413	2791
129	415	2781
130	417	2769
131	419	2760
132	421	2748
133	424	2745
134	428	2745
135	429	2731
136	432	2723
137	434	2716
138	436	2705
139	440	2704
140	442	2694
141	444	2685
142	448	2690
143	450	2679
144	452	2669
145	455	2662
146	457	2656
147	459	2644
148	461	2633
149	462	2621
150	463	2608
151	465	2596
152	466	2583
153	467	2570
154	485	2646
155	487	2635
156	489	2629
157	491	2619
158	493	2609
159	495	2599
160	497	2590
161	498	2577
162	500	2567
163	502	2561
164	506	2561
165	509	2559
166	511	2553
167	514	2546
168	516	2540
169	519	2533
170	521	2530
171	523	2522
172	526	2515
173	527	2505
174	529	2495
175	531	2488
176	533	2480
177	535	2472
178	537	2467
179	539	2458
180	541	2450
181	542	2439
182	544	2429
183	545	2420
184	547	2410
185	548	2400
186	550	2393
187	552	2385
188	553	2376
189	555	2366
190	556	2356
191	557	2346
192	559	2338
193	560	2330
194	562	2321
195	563	2311
196	565	2306
197	579	2347
198	580	2337
199	581	2327
200	583	2319
201	585	2312
202	587	2305
203	589	2300
204	591	2293
205	593	2286
206	595	2280
207	596	2271
208	597	2262
209	599	2256
210	602	2253
211	604	2245
212	605	2237
213	607	2230
214	609	2224
215	610	2216
216	612	2210
217	615	2208
218	617	2202
219	618	2193
220	619	2185
221	621	2176
222	622	2168
223	623	2160
224	625	2152
225	626	2145
226	628	2139
227	630	2135
228	633	2131
229	634	2125
230	653	2174
231	656	2172
232	658	2166
233	659	2158
234	660	2150
235	661	2143
236	663	2135
237	666	2133
238	667	2125
239	668	2117
240	670	2110
241	671	2103
242	672	2096
243	674	2088
244	675	2082
245	677	2076
246	679	2071
247	682	2068
248	683	2061
249	685	2055
250	687	2050
251	688	2043
252	689	2035
253	690	2028
254	691	2021
255	693	2014
256	695	2009
257	696	2004
258	699	2001
259	701	1995
260	703	1991
261	704	1984
262	705	1978
263	707	1971
264	708	1965
265	711	1963
266	714	1960
267	716	1957
268	718	1951
269	719	1945
270	720	1939
271	722	1933
272	724	1928
273	726	1924
274	728	1921
275	734	1926
276	736	1922
277	739	1919
278	742	1917
279	744	1914
280	746	1909
281	747	1904
282	749	1898
283	750	1892
284	751	1886
285	754	1882
286	755	1877
287	759	1877
288	763	1878
289	765	1873
290	767	1869
291	769	1865
292	771	1860
293	772	1855
294	775	1853
295	776	1847
296	778	1842
297	779	1836
298	781	1831
299	782	1825
300	783	1820
301	785	1814
302	786	1808
303	787	1803
304	793	1807
305	795	1803
306	797	1799
307	798	1794
308	800	1789
309	801	1784
310	805	1784
311	808	1781
312	809	1776
313	811	1773
314	813	1768
315	814	1763
316	817	1760
317	818	1755
318	821	1752
319	822	1748
320	824	1743
321	825	1738
322	827	1733
323	828	1729
324	830	1724
325	831	1718
326	832	1713
327	834	1710
328	837	1708
329	840	1705
330	841	1700
331	843	1697
332	845	1692
333	846	1688
334	847	1682
335	851	1682
336	854	1680
337	856	1676
338	857	1672
339	859	1667
340	860	1663
341	862	1658
342	863	1653
343	866	1652
344	868	1649
345	870	1644
346	872	1641
347	873	1636
348	874	1632
349	876	1627
350	877	1623
351	879	1619
352	881	1616
353	884	1613
354	886	1609
355	887	1605
356	889	1601
357	890	1597
358	892	1593
359	893	1589
360	895	1585
361	897	1581
362	898	1577
363	900	1572
364	901	1568
365	902	1563
366	903	1559
367	905	1554
368	906	1550
369	908	1546
370	909	1542
371	911	1539
372	913	1535
373	915	1531
374	916	1527
375	917	1522
376	918	1518
377	920	1514
378	921	1510
379	922	1505
380	924	1501
381	927	1500
382	929	1497
383	931	1493
384	932	1490
385	934	1486
386	935	1482
387	939	1481
388	941	1478
389	943	1475
390	945	1472
391	947	1469
392	950	1467
393	952	1465
394	955	1463
395	959	1463
396	961	1461
397	963	1457
398	964	1453
399	966	1449
400	968	1446
401	969	1442
402	971	1438
403	986	1454
404	987	1450
405	988	1446
406	991	1444
407	993	1442
408	995	1438
409	1000	1439
410	1002	1435
411	1003	1431
412	1004	1428
413	1007	1425
414	1008	1421
415	1009	1417
416	1011	1413
417	1012	1409
418	1014	1406
419	1015	1402
420	1016	1398
421	1017	1394
422	1019	1390
423	1021	1388
424	1023	1384
425	1024	1380
426	1026	1376
427	1027	1373
428	1029	1369
429	1030	1366
430	1032	1362
431	1033	1358
432	1034	1354
433	1036	1351
434	1038	1348
435	1039	1344
436	1041	1341
437	1043	1339
438	1044	1335
439	1046	1331
440	1047	1327
441	1048	1323
442	1052	1323
443	1055	1321
444	1057	1319
445	1059	1315
446	1060	1312
447	1062	1309
448	1063	1305
449	1066	1303
450	1068	1300
451	1069	1296
452	1070	1292
453	1072	1289
454	1073	1285
455	1074	1282
456	1075	1278
457	1076	1274
458	1077	1270
459	1079	1266
460	1080	1263
461	1082	1260
462	1084	1257
463	1086	1254
464	1087	1251
465	1089	1248
466	1090	1244
467	1091	1241
468	1093	1237
469	1094	1234
470	1097	1232
471	1098	1229
472	1100	1225
473	1101	1222
474	1102	1218
475	1103	1215
476	1105	1211
477	1106	1208
478	1107	1204
479	1108	1201
480	1110	1198
481	1112	1195
482	1114	1192
483	1115	1189
484	1116	1185
485	1117	1182
486	1119	1178
487	1121	1176
488	1122	1173
489	1124	1170
490	1127	1168
491	1129	1166
492	1131	1163
493	1133	1160
494	1134	1157
495	1135	1153
496	1137	1150
497	1138	1147
498	1140	1144
499	1142	1142
500	1145	1140
501	1146	1137
502	1148	1135
503	1150	1132
504	1151	1128
505	1153	1125
506	1154	1122
507	1156	1120
508	1158	1117
509	1159	1113
510	1160	1110
511	1161	1107
512	1163	1104
513	1164	1100
514	1165	1097
515	1166	1094
516	1168	1091
517	1171	1089
518	1173	1087
519	1174	1084
520	1175	1080
521	1177	1078
522	1178	1074
523	1179	1071
524	1181	1068
525	1182	1065
526	1183	1062
527	1185	1059
528	1187	1057
529	1189	1054
530	1190	1051
531	1192	1048
532	1194	1046
533	1195	1043
534	1196	1039
535	1197	1036
536	1200	1035
537	1235	1061
538	1239	1060
539	1243	1059
540	1244	1056
541	1252	1058
542	1255	1056
543	1256	1053
544	1259	1051
545	1261	1048
546	1262	1045
547	1264	1042
548	1266	1040
549	1267	1037
550	1269	1034
551	1270	1031
552	1272	1028
553	1273	1025
